no,review,score
1,"['达康', '书记', '的', '脸配', '上', '陈萍萍', '的', '名字', '，', '有种', '莫名', '的', '喜感', '。']",0
2,"['这剧', '真是', '超', '豪华', '阵容', '呀', '，', '想', '看', '陈道明', '和', '张若昀', '的', '父子', '大戏', '，', '很', '喜欢', '达康', '书记', '演', '的', '陈萍萍', '。']",30
3,"['过审', '鬼才', '。']",0
4,"['服道化', 'low', '如于', '妈', '制作', '的', '雷剧', ' ', '张若昀', '也', '是', '丑', '的', '没', '眼看']",0
5,"['终于', '开播', '了', '，', '就', '冲', '这', '演员阵容', '不看', '真的', '可惜', '，', '陈道明', '，', '吴刚', '…', '…', '虽然', '我', '没', '看过', '小说', '但', '超级', '期待', '，', '听说', '郭', '麒麟', '超', '搞笑', '的', '，', '李沁', '也', '超美', '，', '希望', '剧情', '让', '我', '这个', '观众', '也', '能', '好', '嗑', '一点', '，', '追', '！']",0
6,"['没有', '理由', '不', '关注', '这部', '剧', '，', '毕竟', '这', '曾经', '是', '我', '最', '当年', '喜欢', '的', '小说', '之一', '。', '对于', '“', '史上', '最大', '反派', '”', '的', '庆帝', '由', '陈道明', '来', '演会', '感觉', '莫名', '的', '认可', '。', '当然', '，', '前段时间', '张若昀', '的', '整体', '表现', '也', '不错', '，', '希望', '这次', '会', '有', '带来', '更', '多', '的', '惊喜', '，', '毕竟', '庆', '余年', '这部', '剧', '来说', '，', '关注度', '太高', '了', '。', '恩恩', '，', '卡司', '阵容', '超', '强大', '啊', '！', '编剧', '王倦', '大大', '威武', '！', '！']",31.5
7,"['上学', '时候', '追书', '追', '的', '天昏地暗', '，', '这么', '多年', '终于', '拍成', '了', '电视剧', '，', '算是', '有生之年', '系列', '。', '开头', '改编', '部分', '能', '接受', '，', '不得不', '说', '小范', '闲给', '这', '剧增', '色', '不少', '，', '希望', '他', '不要', '那么', '快', '长大', '（', '虽然', '知道', '不', '可能', '）', '，', '让', '我', '多', '看', '一会儿', '…', 'ps', '：', '就', '喜欢', '腾讯', '的', '不准', '时']",-10.5
8,"['感觉', '有些', '意思', '呀', '，', '第一集', '看着', '还', '挺', '好入', '戏', '的', '，', '吴刚', '的', '陈萍萍', '造型', '太酷', '了', '吧', '，', '感觉', '后面', '会', '很', '精彩']",1.75
9,"['带', '着', '镣铐', '能', '把', '舞', '跳', '这么', '好', '我', '是', '很服', '的', '，', '开头', '的', '穿越', '设定', '很', '惊艳', '，', '第一集', '这个', '还原', '度', '真心', '没得说', '，', '小范', '闲人', '畜', '无害', '的', '笑', '我', '可', '太', '喜欢', '了', '，', '必须', '五星', '好评', '走', '起来', '，', '等', '一手', '我', '最', '爱', '的', '大', '东山', '之战', '~']",61
10,"['穿越', '的', '剧情', '设置', '得', '很', '巧妙', '，', '全员', '演技', '在线', '，', '搞笑', '的', '梗', '也', '很多', '。']",10
11,"['终于', '等到', '正片', '播', '了', '，', '王倦', '和', '猫腻', '的', '剧本', '不多', '说', '了', '台词', '细节', '太好了', '，', '权谋', '后面', '剧情', '应该', '会', '更', '精彩', '。', '陈道明', '和', '吴刚', '，', '演技', '真的', '绝', '了', '，', '但是', '陈萍萍', '这个', '名字', '故意', '的', '吧', '配上', '达康', '书记', '太', '好笑', '了', '哈哈哈']",6
12,"['原著', '真心', '精彩', '，', '无论是', '人物', '塑造', '还是', '对', '权谋', '的', '描绘', '，', '剧版', '阵容', '不错', '，', '配角', '挺强', '的', '，', '不过', '最', '吸引', '我', '的', '还是', '故事', '主线', '的', '设定', '，', '会', '继续', '追下去', '。']",22
13,"['期待', '很', '久', '终于', '播出', '。', '张若昀', '古装', '少见', '，', '现在', '看来', '还', '不错', '。', '李沁好', '美', '，', '人设', '也', '合适', '。', '配角', '阵容强大', '，', '陈道明', '吴刚', '戏骨', '加盟', '，', '还有', '李小冉', '宋轶', '李纯', '辛芷蕾', '王阳', '于小伟', '佟梦实', '张昊', '唯肖', '战', '。', '抛开', '略显', '浮夸', '的', '穿越', '设定', '，', '后续', '剧情', '挺', '有意思', '。', '原音', '好评', '，', '制作', '可以', '，', '片头', '不错', '。', '猫腻', '原著', '，', '王倦', '编剧', '，', '还原', '度', '在', '合理', '范围', '内', '，', '剧情', '基本', '在线', '。', '四星', '待定', '看', '后续', '。']",6.5
14,"['看', '了', '几集', '，', '不是', '小说', '党', '，', '可圈可点', '，', '简直', '被', '范思辙', '小可爱', '迷倒', '了', '。', '男主', '绝对', '的', '演技', '在线', '，', '各种', '戏骨', '都', '在线', '。', '说实话', '，', '真的', '比', '之前', '的', '择', '天记', '之类', '的', '感观', '好太多', '，', '之前', '的', '都', '看不下去', '，', '太', '尴尬', '了', '。', '我', '强烈建议', '一周', '多', '更新', '几集', '，', '实在', '太少', '了', '。', '?']",-5
15,"['感谢', '盗梦', '观影', '团', '，', '有幸', '提前', '观看', '了', '这部', '剧', '的', '前', '三集', '，', '感觉', '是', '非常', '好', '的', '一部', '电视剧', '，', '看前', '三集', '的', '质量', '以及', '演员阵容', '，', '预计', '又', '是', '一部', '国民', '剧', '。', '第一集', '印象', '很', '深刻', '，', '小演员', '的', '表演', '很', '出彩', '，', '笑点', '非常', '多', '，', '后面', '李沁', '的', '出场', '第一幕', '有点', '尬', '，', '后面', '还是', '很', '美的', '，', '一定', '会', '继续', '追', '的', '，', '近期', '难得', '的', '好剧']",39
16,"['我', '哭', '着', '说', '王倦', '牛', '逼', '！', '！', '！', '！', '第一集', '就', '这么', '好看', '！', '！', '光是', '剧情', '铺垫', '部分', '就', '这么', '多笑点', '，', '人物', '也', '变得', '更', '鲜活', '了', '！', '！', '倦', '，', '国产', '剧有', '你', '了不起', '！', '！']",20
17,"['一部', '不错', '的', '网络小说', '加上', '王倦', '大神', '的', '编剧', '，', '看到', '目前为止', '还是', '不错', '的', '，', '希望', '接下来', '不要', '水', '。']",6
18,"['王倦', '可', '，', '男主太', '差劲', '了', '，', '长得', '蛮', '难看', '的', '，', '演技', '也', '不好', '。']",-15.5
19,"['剧情', ' ', '细节', ' ', '注定', '也', '只能', '当个', '网剧', '了', ' ', '白', '瞎', '了', '我', '的', '陈道明', '吴刚']",0
20,"['第一集', '开头', '镜头', '看着', '头晕', '，', '张若昀', '演技', 'emmm', '，', '不太想', '继续', '看', '下去', '，', '一星', '给', '王倦', '大大', '，', '一星', '给', '老戏骨']",0
21,"['又', '见', '莫名其妙', '不知所云', '的', '装', 'x', '，', '这次', '还', '硬', '要', '莫名其妙', '的', '搞笑', '。', '以及', '，', '男主', '真的', '完全', '不', '在', '我', '的', '审美', '里']",-27.5
22,"['冲着', '不少', '老戏骨', '而', '来', '，', '然而', '第一集', '看', '完', '却', '大失所望', '。', '。', '。', '以为', '是', '正剧', '没想到', '是', '爽文', '―', '―', '爽', '就', '完事', '了', '？', '不', '相信', '陈道明', '和', '吴刚', '会', '出演', '这样', '的', '电视剧', '。', '所以', '会', '继续', '蹲', '着', '，', '根据', '后续', '剧情', '更改', '分数']",-7
23,"['剧情', '、', '基调', '、', '节奏', '超', '奇怪', '，', '看', '得', '难受', '，', '不是', '烂', '，', '是', '奇怪', '，', '真的', '很', '奇怪', '。']",0
24,"['整个', '剧', '的', '节奏', '太差', '了', ' ', '搞笑', '的', '地方', '太', '刻意', ' ', '煽情', '的', '地方', '又', '太', '做作', ' ', '佟梦', '实演', '的', '五竹', '是', '最大', '的', '败笔', '。', '对', '这个', '剧', '唯一', '的', '期待', '就是', ' ', '这', '世界', '上', '还有', '没有', '连', '陈道明', '+', '吴刚', '都', '救', '不', '回来', '的', '剧', '。']",-28
25,"['IP', '小说', '真的', '改编', '才', '是', '作品', '最大', '的', '立足点', '，', '否则', '不管', '多少', '戏骨', '和', '好', '演员', '都', '白搭', '。', '看', '完', '两集', '我', '要', '退', '了', '。']",-2
26,"['张若昀', '的', '面瘫', '脸', ' ', '负分']",0
27,"['很', '尴尬']",0
28,"['拖沓', '+', '男主丑']",0
29,"['可能', '是', '期望', '太大', '了', '，', '有', '的', '故事', '确实', '不', '适合', '影视', '化', '。', '而且', '很烦', '弹幕', '里', '一直', '刷', '肖战', '的']",10
30,"['剧荒', '去', '看', '了', '看', '，', '真的', '看不下去', '，', '男主', '真的', '不', '适合', '古装剧']",0
31,"['第一集', '全都', '不', '对', '：', '不要', '说五竹', '的', '冷酷', '被', '演成', '呆滞', '，', '费介', '没有', '了', '狡猾', '只', '剩下', '猥琐', '，', '奶奶', '的', '精明', '基本', '只浮', '在', '水面', '。', '立', '不', '起来', '的', '人物', '，', '导致', '主角', '和', '周遭', '人', '的', '情感', '纽带', '完全', '是', '强行', '连接', '。', '牺牲', '掉', '故事', '的', '逻辑性', '只为', '男主', '尽快', '成人', '进入', '主线', '，', '这种', '改编', '我', '接受', '不了', '。']",-16
32,"['本来', '不', '打算', '看', '的', '，', '张若昀', '的', '古装', '实在', '颜值', '欠缺', '，', '奈何', '剧情', '一流', '，', '他', '本身', '演技', '不错', '，', '角色', '还', '算', '成功', '。', '这部', '剧', '应该', '算是', '今年', '我', '唯一', '想', '打', '5', '星', '的', '古装', '。', '导演', '是从', '哪里找', '来', '这么', '多', '好戏', '之', '人', '？', '且不说', '幕后', '没', '一处', '掉', '链子', '，', '剪接', '出色', '，', '连', '丫鬟', '奴仆', '都', '恰如其分', '没有', '呆滞', '之感', '可谓', '相当', '难得', '。', '喜剧', '的', '部分', '基本', '集中', '在', '张若昀', '他们', '京都', '范家', '身上', '，', '第', '4', '集里', '接风', '的', '鸿门宴', '里', '，', '全家', '个个', '戏精', '，', '跟', '狐狸', '窝', '没差', '了', '。', '陈道明', '那边', '的', '朝廷', '戏', '俨然', '正剧', '范儿', '，', '大气', '十足', '，', '张弛', '有度', '，', '无论是', '陈道明', '还是', '李小冉', '，', '都', '把', '后宫', '的', '权谋', '跟', '皇家', '气度', '一一', '展露', '。', '可惜', '了', '，', '这部', '剧', '的', '质量', '应该', '上星']",1.5
33,"['太差', '了', '吧', '。']",-5
34,"['稀奇古怪', '的', '节奏', '，', '莫名其妙', '的', '台词', '，', '还', '真', '挺', '与众不同', '的', '…', '…']",-5
35,"['吐', '了', '，', '这', '什么', '剧情', '和', '台词', '啊', '，', '前言不搭后语', '，', '这五竹', '蒙着', '眼睛', '什么', '都', '能', '看见', '啊', '，', '等', '着', '看', '李沁', '吧']",-3
36,"['男主角', '是', '关系户', '吧', '，', '演技', '也', '太', '尴尬', '了']",0
37,"['男女', '主选', '的', '真辣鸡']",0
38,"['之前', '参加', '过', '提前', '观影', '活动', '，', '因为', '特殊', '原因', '没有', '看', '完', '，', '一直', '很', '喜欢', '陈道明', '，', '会', '继续', '追', '的', '，', '我', '不管', '我', '就要', '给', '满分', '。']",37
39,"['穿越', '题材', '，', '拍', '的', '很', '差', '，', '男主', '又', '丑', '。', '开', '了', '弹幕', '两分钟', '，', '好多', '肖战', '的', '粉丝', '…', '…', '两集', '弃剧']",-6
40,"['男主丑', '到', '吓人', '居然', '演美', '男', '，', '没有', '自知之明', '么', '？', '男频', '文改', '编剧', '还是', '这么', '难看', '，', '能', '不能不', '拍', '了']",-5
41,"['范闲', '这个', '男主角', '看起来', '是', '个', '传奇人物', '啊', '，', '剧情', '没有', '一点', '画蛇添足', '的', '剥离', '感', '，', '很', '紧凑', '很', '精彩', '，', '也', '很', '轻快', '，', '能', '让', '我', '欢快', '的', '笑', '，', '期待', '后面', '的', '大戏', '。']",25.5
42,"['张若均', '被', '一', '孩子', '演技', '秒杀', '了']",0
43,"['范闲', '演技', '跟', '面瘫', '一样', '，', '剧情', '跟', '原著', '差', '了', '十万八千里', '，', '庆帝', '到头来', '变成', '了', '康熙', '。']",-3
44,"['emm', '…', '…', '这部', '剧', '究竟', '要', '讲', '啥']",0
45,"['开头', '几分钟', '拍', '的', '什么', '玩意', ' ', '服装', '都', '是', '仓库', '里', '拿来', '直接', '用', '的', '吗', ' ', '质感', '完全', '没有', ' ', '摄影', '也', '是', '一塌糊涂', '莫名其妙']",-32
46,"['看', '得', '好好', '的', '突然', '冒', '出个', '机器猫', '、', '额头', '亲吻', '…', '…', '太', '破坏', '古装', '的', '意境', '了', '！', '剧情', '沙雕', '不说', '，', '一个个', '实力派', '演员', '竟然', '用力', '过猛', '演技', '浮夸', '，', '让', '人', '不能', '直视', '…', '…']",-3
47,"['low', '剧', '，', '可惜', '了', '这', '云集', '的', '大', '咖', '！']",0
48,"['别吹大', '制作', '了', '，', '节奏', '也', '太慢', '了', '，', '哪个', '编剧', '啊', '这么', '磨叽']",0
49,"['不', '可以', '。', '直观', '的', '感受', '，', '这个', '网文', '改编', '的', '梗', '很烂', '，', '穿越', '用', '不好', '就', '别用', '。', '深刻', '的', '感受', '，', '范闲', '从来不', '是', '一个', '浩然正气', '，', '热血', '少年', '。', '预告', '的', '关键词', '太', '令人', '失望', '了', '。']",2
50,"['为什么', '总', '。', '。', '。', '感觉', '不对劲']",0
51,"['非常', '非常', '的', '失望', '，', '毫不客气', '的', '说', '非常', '难看', '，', '纯属', '就是', '流水账', '，', '而且', '演技', '啥', '也', '不是']",-20
52,"['刚', '温习', '了', '三国', '，', '对比', '之下', '打', '了', '一星', '，', '已', '不能', '忍受', '主角', '光环', '耀眼', '的', '独角戏', '，', '气愤', '这么', '多', '的', '资源', '堆砌', '在', '这类', '架空', '历史剧', '中']",0
53,"['对白', '很烂', '，', '纯靠', '老戏骨', '撑', '，', '剧情', '俗套', '，', '老戏骨', '也', '救', '不下']",-5
54,"['看', '了', '一集', '无感', '。', '。', '。', '正剧', '不像', '正剧', ' ', '喜剧', '不像', '喜剧', ' ', 'BGM', '更是', '一点', '都', '不配', '\n', '真不知道', '怎么', '会集', '齐', '这么', '多', '戏骨', '去演', '这剧', '！']",0
55,"['本来', '觉得', '是', '琅', '琊', '榜', '，', '结果', '是', '个', '穿越', '？', '男主太', '金手指', '了', '没意思', '，', '而且', '造型', '也', '不', '好看', '。', '言冰云', '为啥', '不', '露面', '，', '哎', '。', '急', '。', '一星', '给', '道', '明叔', '，', '一星', '给', '战哥', '的', '片尾曲', '余年', '。']",-3
56,"['鸡肋', '。', '。', '只能', '说', '小说', '本身', '就', '偏', '幼齿', '，', '指望', '编剧', '化腐朽为神奇', '，', '把', '穿越', '自带', '狙击枪', '的', '架空', '爽文', '变成', '经典', '也', '不', '现实', '。', '。']",22
57,"['一直', '盼', '着', '这部', '剧上', '，', '看', '了', '两集', '，', '只有', '失望', '，', '再忍', '着', '吐', '槽', '的', '心', '追', '几集', '…', '…', '。', '腾讯', '大概', '是', '想', '钱', '想', '疯', '了', '，', '6', '集', '50', '？', '这剧值', '吗', '，', '我', '呸', '。']",0
58,"['没', '眼看', '，', '第一集', '看', '了', '十分钟', '，', '五分钟', '看', '完', '二三', '四集', '，', '不知所云', '，', '服装', '差到', '爆', '，', '演技', '也', '烂', '。', '还是', '等', '鹤唳华亭', '吧']",5
59,"['二集', '弃', '，', '张若昀', '演技', '太', '油腻', '，', '服化道', '太差', '了', '。', '同时', '作为', '权谋', '剧', '，', '剧情', '太', '弱智', '了', '。', '又', '追', '了', '3', '-', '4', '集', '，', '还是', '看不下去', '，', '弃', '之']",-29
60,"['妈呀', '太', '可怕', '了', '！', '真的', '是', '！', '预告', '和', '正片', '是', '一个', '东西', '吗', '？', '？', '！']",0
61,"['现在', '的', '古装', '我', '只信', '山影', '的', '，', '其他', '的', '都', '跟', '闹着玩', '似的']",0
62,"['王倦', '果然', '是', '王倦', '，', '几年', '前', '的', '《', '舞乐', '传奇', '》', '就', '曾', '惊艳', '过', '。', '《', '庆', '余年', '》', '看似', '乱七八糟', '的', '剪辑', '和', '逻辑', '线', '，', '都', '会', '在', '接下来', '给出', '意料之外', '的', '答案', '和', '解释', '，', '很', '有意思', '，', '演员', '演技', '也', '很', '给', '力', '，', '看似', '幼稚', '的', '台词', '，', '荒诞', '的', '行为', '，', '实际', '都', '是', '大智若愚', '。', '情节', '有趣', '，', '引人深思', '。']",-32
63,"['一集', '半弃剧', '。', '废', '镜头', '多', '，', '节奏', '慢', '，', '世界观', '铺垫', '不够', '好', '，', '故事', '讲述', '也', '不', '流畅', '。', '感觉', '每', '一段', '都', '很', '莫名其妙', '很', '生硬', '。']",-27
64,"['以为', '是', '历史', '正剧', '结果', '是', '浮夸', '喜剧', '？', '男主颜值', 'emmm', ' ', '郭', '麒麟', '给', '两星', '谢谢']",-3
65,"['这', '到底', '讲', '的', '是', '个', '啥', '？']",0
66,"['期望', '越大', '失望', '越大']",5
67,"['看', '了', '一集', '，', '看不下去', '，', '弃', '了']",0
68,"['兴冲冲', '的', '看', '了', '前', '两集', '，', '扶着', '墙点', '了', 'X', '，', '我', '再也', '不吐槽', '隔壁家', '的', '鹤唳华亭', '了', '！']",5
69,"['一个', '小孩', '挖', '半天', '坟', '，', '拍拍手', '，', '啥事', '没有', '。', '。', '。', '真有', '你', '的', ' ', '导演']",0
70,"['浪费', '这么', '多', '老戏骨', '，', '良心', '不会', '痛', '吗', '？']",-7
71,"['一集', '弃', '，', '又', '是', '一部', '男频', '公路', '片', '，', '角色', '没头苍蝇', '，', '剧情', '漫无目的', '，', '台词', '又尬', '又', '水', '，', '这', '也', '能', '吹']",-7
72,"['6', '集', '完事', '！', '好', '的', '编剧', '就是', '会', '让', '配角', '也', '出', '很', '出彩', ' ', '范思辙', ' ', '王启年', ' ', '滕子京', ' ', '费介', ' ', '五竹', '等等', ' ', '感觉', '每个', '人', '都', '有', '自己', '的', '独立', '线', ' ', '女性', '角色', '暂时', '还', '没', '看到', '突出', '光彩', ' ', '好', '期待', '叶轻眉', '和', '庆帝', '之间', '的', '故事', '也', '不', '知道', '第一季', '能', '不能', '露面', ' ', '张', '适合', '民国', '剧', ' ', '古装', '太', '暴露', '颜值', '缺点', ' ', '换个', '有', '演技', '还有', '颜值', '的', '小生', ' ', '这剧', '估计', '也', '就', '小', '爆', '了', '范若', '若', '和', '想象', '的', '不', '一样', ' ', '曼丽', '脱离', '了', '伪装者', '滤镜', '不行', '了', '啊', ' ', '婉儿', '也', '是', '目前', '没', '看到', '光彩', '点']",19
73,"['我', '觉得', '有点', '尬']",0
74,"['中', '二', '不是', '导演', '水平', '差', '的', '挡箭牌', '，', '完全', '没有', '专业', '素养', '的', '制作', '团队', '，', '导演', '和', '剪辑', '音乐', '尤甚', '。']",3
75,"['1.5', '倍速', '不够', '用']",-5
76,"['一集', '弃', '。', '等', '不到', '李沁', '出场', '了', '，', '拍', '的', '什么', '玩意儿', '，', '四不像']",0
77,"['这么', '好', '的', '演员阵容', '，', '可惜', '了', '。', '还是', '国内', '电视剧', '一贯', '的', '粗制滥造', '，', '本来', '期待', '这', '可能', '是', '一部', '《', '琅', '琊', '榜', '》', '那样', '的', '剧', '，', '现在', '看来', '，', '是', '我', '期待', '太高', '了', '。']",-5
78,"['之前', '参加', '了', '盗', '梦', '观影', '团', '活动', '，', '提前', '了', '三集', '，', '终于', '等到', '了', '！', '！', '！', '！', '观感', '就', '俩', '字', '―', '―', '好看', '！', '（', '不', '说', '了', '去', '看', '第四集', '?', '?', '(', '?', 'B', 'ω', 'B', ')', '?', '?', '请', '后续', '一定', '保持', '前面', '水准', '啊', '！', '！', '！', '）']",3
79,"['网络小说', '改', '编剧', '的', '通病', '，', '和', '那个', '九', '州牧', '云记', '一样', '的', '问题', '，', '架子', '铺', '的', '太大', '，', '驾驭', '不了', '，', '就', '成', '了', '这', '副', '模样', '。', '就', '拿', '琅', '琊', '榜', '来', '比', '，', '高下', '立判', '。']",-5
80,"['什么', '胡诌八扯', '的']",-5
81,"['我', '是', '晕', '了', '吗', '？', '这剧', '怎么', '拍', '成', '这样', '了', '？', '不是', '大剧', '正剧', '吗', '？', '怎么', '成', '穿越', '剧', '？', '重生', '剧', '？', '什么', '鬼', '…', '…', '满屏', '都', '是尬', '尬', '的', '网络', '文风', '。', '这么', '多', '老戏骨', '鼓捣', '这么', '一个', '玩意', '？', '我', '，', '只能', '佩服', '大家', '的', '勇气', '…', '…', '所谓', '网络', '大神', '都', '是', '这么', '神奇', '吗', '…', '…', '骗纸', '！', '以为', '你', '可以', '秒杀', '《', '鹤唳华亭', '》', '，', '结果', '是', '这个', '样子', '！']",0.5
82,"['感觉', '和', '评', '五星', '的', '人', '看', '的', '不是', '同', '一部', '剧', '，', '老戏骨', '们', '为啥', '接', '这样', '的', '剧', '。']",0
83,"['“', '嚯', '！', '为', '陈道明', '去', '看', '！', '相信', '他', '的', '眼光', '！', '！', '”', '撤回', '撤回', '。', '\n', '为了', '集数', '而', '磨叽', '，', '哪里', '看出', '了', '不', '拖沓', '…', '…', '\n', '那么', '那么', '多', '的', '满分', '，', '实在', '体会', '不到', '。', '\n', '失望', '至极', '，', '告辞', '！']",-3.5
84,"['好看', '，', '别看', '是', '个', '穿越', '剧', '却', '一本正经', '说', '故事', '，', '而且', '镜头', '，', '配色', '，', '比例', '都', '特别', '好看', '！', '真的', '好看', '，', '一集', '就', '长大', '了', '，', '剧情', '进展', '快', '都', '没', '看够', '！']",15
85,"['舌头', '捋', '直', '了', '说话']",0
86,"['看', '的', '时候', '让', '人', '一脸', '“', 'what', '？', '”', '的', '感觉', '。', '不是', '说好', '的', '要', '诈死', '吗', '？', '为什么', '连', '衣服', '都', '不换', '就', '大摇大摆', '的', '在', '京城', '给', '男主当', '护卫', '了', '？', '？', '？', '还有', '男主', '不是', '说', '要', '偷偷摸摸', '的', '去', '监察院', '，', '还要', '弟弟', '妹妹', '营造', '不', '在场', '证据', '的', '吗', '？', '怎么', '又', '大摇大摆', '，', '一边', '逛街', '一边', '游荡', '着', '去', '监察院', '了', '？', '！', '！', '！', '导演', '在', '挑战', '观众', '的', '智商', '吗', '？']",15
87,"['太', '难看', '了', '，', '一', '上来', '莫名其妙', '整个', '小说', '，', '剧情', '很', '无聊', '，', '一点', '没有', '看点', '。']",-15
88,"['搞', '这么', '大阵', '仗', '就', '为', '一', '沙雕', '剧', '？', '何必', '兴师动众', '老戏骨', '，', '有', '郭', '麒麟', '就够', '了', '。']",-5
89,"['类型', '是', '我', '喜欢', '的', ' ', '被', '男主颜', '劝退', '…', '…']",5
90,"['男主', '太丑']",0
91,"['9012', '年', '了', '这种', '潘', '逆袭', '成龙', '傲天', '的', '种马', '文', '还', '这么', '受欢迎', '？', '？', '？', '？', '带入', '且', '沉浸', '在', '主角', '的', '的', '开挂', '世界', '里', '想必', '很香', '吧', '？', '！', '！', '！', '【', '浪费', '了', '很多', '老', '演员', ' ', '但是', '这个', '猥琐', '还有', '抄袭', '历史', '的', '男频', '爽文', '我', '真', '看', '不', '进去', ' ', '告辞', '！', ' ', '】', '一星', '是', '给', '小范', '闲', '的', ' ', '这', '孩子', '有点', '灵气']",-39
92,"['没', '看过', '小说', '，', '看', '了', '4', '集', '不', '知道', '演', '的', '是', '啥']",0
